,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,Unnamed: 0.1
665,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,RW 02,1,1,0,0,50 cm,18 oktober 2020,0,0,0,0,0,0,0,0,665.0
666,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,RW 06,1,1,0,0,10 cm,18 oktober 2020,0,0,0,0,0,0,0,0,666.0
667,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,0,0,1,0,0,10 cm,18 oktober 2020,0,0,0,0,0,0,0,0,667.0
668,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,0,0,1,0,0,20 cm,18 oktober 2020,0,0,0,0,0,0,0,0,668.0
669,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,RW 07,1,1,0,0,40 cm,18 oktober 2020,0,0,0,0,0,0,0,0,669.0
670,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,RW 09,1,1,0,0,10 cm,18 oktober 2020,0,0,0,0,0,0,0,0,670.0
671,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,0,0,1,0,0,40 cm,18 oktober 2020,0,0,0,0,0,0,0,0,671.0
672,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,RW 10,1,1,0,0,10 cm - 80 cm,"05, 06, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,672.0
673,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,0,0,1,45,225,10 cm - 150 cm,"05, 06, 09, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,673.0
674,Jakarta Selatan,KEBAYORAN LAMA,GROGOL UTARA,RW 11,1,1,0,0,20 cm,16 oktober 2020,0,0,0,0,0,0,0,0,674.0
675,Jakarta Selatan,KEBAYORAN LAMA,0,RW 14,1,1,0,0,40 cm,16 oktober 2020,0,0,0,0,0,0,0,0,675.0
676,Jakarta Selatan,CILANDAK,PONDOK LABU,RW 01,1,1,0,0,30 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,676.0
677,Jakarta Selatan,CILANDAK,PONDOK LABU,RW 02,1,1,0,0,80 - 100 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,677.0
678,Jakarta Selatan,CILANDAK,LEBAK BULUS,RW 01,1,1,0,0,20 cm - 60 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,678.0
679,Jakarta Selatan,CILANDAK,LEBAK BULUS,RW 04,1,1,0,0,20 cm - 60 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,679.0
680,Jakarta Selatan,CILANDAK,LEBAK BULUS,RW 08,1,1,0,0,20 cm - 60 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,680.0
681,Jakarta Timur,JATINEGARA,BIDARA CINA,RW : 07,1,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,681.0
682,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,682.0
683,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,683.0
684,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,684.0
685,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,685.0
686,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,686.0
687,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,687.0
688,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,688.0
689,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,689.0
690,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,0,0,20 - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,690.0
691,Jakarta Timur,JATINEGARA,BIDARA CINA,RW 11,1,1,5,20,10 - 100 cm,"05, 25 oktober 2020",0,0,0,0,0,17,1,0,691.0
692,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,8,28,10 - 100 cm,"05, 25 oktober 2020",0,0,0,0,0,0,0,0,692.0
693,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,9,24,10 - 100 cm,"05, 25 oktober 2020",0,0,0,0,0,0,0,0,693.0
694,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,9,31,10 - 100 cm,"05, 25 oktober 2020",0,0,0,0,0,0,0,0,694.0
695,Jakarta Timur,JATINEGARA,BIDARA CINA,0,0,1,7,23,10 - 100 cm,"05, 25, 29 oktober 2020",0,0,0,0,0,0,0,0,695.0
696,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 04,1,1,17,51,10 cm - 150 cm,"05, 11, 29 oktober 2020",0,0,0,0,0,0,0,0,696.0
697,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,19,66,10 cm - 150 cm,"05, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,697.0
698,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 05,1,1,5,16,10 cm - 150 cm,05 oktober 2020,0,0,0,0,0,0,0,0,698.0
699,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,39,118,10 cm - 150 cm,"05,11,25,29 oktober 2020",0,0,0,0,0,0,0,0,699.0
700,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,25,80,10 cm - 150 cm,"05,11,25,29 oktober 2020",0,0,0,0,0,0,0,0,700.0
701,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 06,1,1,6,18,10 cm - 30 cm,05 oktober 2020,0,0,0,0,0,0,0,0,701.0
702,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 07,1,1,12,48,10 cm - 60 cm,05 oktober 2020,0,0,0,0,0,0,0,0,702.0
703,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,7,23,10 cm - 60 cm,05 oktober 2020,0,0,0,0,0,0,0,0,703.0
704,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,8,28,10 cm - 60 cm,05 oktober 2020,0,0,0,0,0,0,0,0,704.0
705,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,9,31,10 cm - 60 cm,05 oktober 2020,0,0,0,0,0,0,0,0,705.0
706,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,15,53,10 cm - 80 cm,"05,11 oktober 2020",0,0,0,0,0,0,0,0,706.0
707,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,10,33,10 cm - 50 cm,05 oktober 2020,0,0,0,0,0,0,0,0,707.0
708,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,9,28,10 cm - 50 cm,05 oktober 2020,0,0,0,0,0,0,0,0,708.0
709,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,6,27,10 cm - 50 cm,05 oktober 2020,0,0,0,0,0,0,0,0,709.0
710,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,9,27,10 cm - 80 cm,05 oktober 2020,0,0,0,0,0,0,0,0,710.0
711,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,12,38,10 cm - 50 cm,05 oktober 2020,0,0,0,0,0,0,0,0,711.0
712,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,8,21,10 cm - 50 cm,05 oktober 2020,0,0,0,0,0,0,0,0,712.0
713,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 08,1,1,9,28,10 cm - 30 cm,05 oktober 2020,0,0,0,0,0,0,0,0,713.0
714,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,5,15,10 cm - 30 cm,05 oktober 2020,0,0,0,0,0,0,0,0,714.0
715,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,12,36,10 cm - 80 cm,"05,11 oktober 2020",0,0,0,0,0,0,0,0,715.0
716,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,6,21,10 cm - 30 cm,05 oktober 2020,0,0,0,0,0,0,0,0,716.0
717,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,9,31,10 cm - 50 cm,05 oktober 2020,0,0,0,0,0,0,0,0,717.0
718,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,7,22,10 cm - 50 cm,05 oktober 2020,0,0,0,0,0,0,0,0,718.0
719,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,14,46,10 cm - 80 cm,"05,11 oktober 2020",0,0,0,0,0,0,0,0,719.0
720,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,16,54,10 cm - 80 cm,"05,11 oktober 2020",0,0,0,0,0,0,0,0,720.0
721,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,17,58,10 cm - 80 cm,"05,11 oktober 2020",0,0,0,0,0,0,0,0,721.0
722,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,15,51,10 cm - 80 cm,"05,11 oktober 2020",0,0,0,0,0,0,0,0,722.0
723,Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 13,1,1,0,0,10 cm,"26,27 oktober 2020",0,0,0,0,0,0,0,0,723.0
724,Jakarta Timur,KRAMAT JATI,CAWANG,RW 01,1,1,2,7,20 - 50 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,724.0
725,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,3,9,20 - 70 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,725.0
726,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,7,28,20 - 50 cm,05 oktober 2020,0,0,0,0,0,0,0,0,726.0
727,Jakarta Timur,KRAMAT JATI,CAWANG,RW 02,1,1,7,24,20 - 50 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,727.0
728,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,5,20,20 - 70 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,728.0
729,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,7,21,40 - 120 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,729.0
730,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,5,24,40 - 100 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,730.0
731,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,4,16,50 - 110 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,731.0
732,Jakarta Timur,KRAMAT JATI,CAWANG,RW 03,1,1,15,45,60 - 120 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,732.0
733,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,6,24,20 - 120 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,733.0
734,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,7,21,20 - 70 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,734.0
735,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,8,24,20 - 120 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,735.0
736,Jakarta Timur,KRAMAT JATI,CAWANG,RW 05,1,1,7,22,20 - 120 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,736.0
737,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,3,12,20 - 80 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,737.0
738,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,12,38,20 - 120 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,738.0
739,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,5,21,20 - 50 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,739.0
740,Jakarta Timur,KRAMAT JATI,CAWANG,RW 08,1,1,5,16,20 cm,25 oktober 2020,0,0,0,0,0,0,0,0,740.0
741,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,5,17,20 - 70 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,741.0
742,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,10,30,20 - 120 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,742.0
743,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,6,18,20 - 70 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,743.0
744,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,5,13,20 - 100 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,744.0
745,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,3,7,20 - 100 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,745.0
746,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,0,0,20 cm,25 oktober 2020,0,0,0,0,0,0,0,0,746.0
747,Jakarta Timur,KRAMAT JATI,CAWANG,RW 12,1,1,2,5,20 - 30 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,747.0
748,Jakarta Timur,KRAMAT JATI,CAWANG,0,0,1,0,0,20 - 30 cm,25 oktober 2020,0,0,0,0,0,0,0,0,748.0
749,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,RW 01,1,1,0,0,20 cm - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,749.0
750,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,0,1,0,0,20 cm - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,750.0
751,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,RW 02,1,1,0,0,20 cm - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,751.0
752,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,RW 05,1,1,0,0,20 cm - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,752.0
753,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,0,1,0,0,20 cm - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,753.0
754,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,0,1,0,0,20 cm - 70 cm,25 oktober 2020,0,0,0,0,0,0,0,0,754.0
755,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,0,1,14,41,50 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,755.0
756,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,0,1,3,10,50 cm,"05,25 oktober 2020",0,0,0,0,0,0,0,0,756.0
757,Jakarta Timur,KRAMAT JATI,DUKUH,RW 03,1,1,0,0,50 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,757.0
758,Jakarta Timur,KRAMAT JATI,CILILITAN,RW 06,1,1,31,70,10 cm,25 oktober 2020,0,0,0,0,0,0,0,0,758.0
759,Jakarta Timur,KRAMAT JATI,CILILITAN,0,0,1,12,46,10 cm,25 oktober 2020,0,0,0,0,0,0,0,0,759.0
760,Jakarta Timur,KRAMAT JATI,CILILITAN,0,0,1,24,59,10 cm,25 oktober 2020,0,0,0,0,0,0,0,0,760.0
761,Jakarta Timur,KRAMAT JATI,CILILITAN,RW  07,1,1,30,70,10 cm,25 oktober 2020,0,0,0,0,0,0,0,0,761.0
762,Jakarta Timur,KRAMAT JATI,CILILITAN,RW 16,1,1,16,40,10 cm,25 oktober 2020,0,0,0,0,0,0,0,0,762.0
763,Jakarta Timur,PASAR REBO,KALISARI,RW 01,1,1,0,0,10 cm ,"10,11 oktober 2020",0,0,0,0,0,0,0,0,763.0
764,Jakarta Timur,PASAR REBO,KALISARI,RW 02,1,1,0,0,10 cm ,"10,11 oktober 2020",0,0,0,0,0,0,0,0,764.0
765,Jakarta Timur,PASAR REBO,KALISARI,RW 09,1,1,0,0,40 cm ,"10,11 oktober 2020",0,0,0,0,0,0,0,0,765.0
766,Jakarta Timur,PASAR REBO,CIJANTUNG,RW 11,1,1,0,0,35 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,766.0
767,Jakarta Timur,PASAR REBO,CIJANTUNG,0,0,1,0,0,40 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,767.0
768,Jakarta Timur,PASAR REBO,PEKAYON,RW 07,1,1,0,0,30 cm,26 oktober 2020,0,0,0,0,0,0,0,0,768.0
769,Jakarta Timur,PASAR REBO,PEKAYON,0,0,1,0,0,30 cm,26 oktober 2020,0,0,0,0,0,0,0,0,769.0
770,Jakarta Timur,PASAR REBO,PEKAYON,0,0,1,0,0,50 cm,26 oktober 2020,0,0,0,0,0,0,0,0,770.0
771,Jakarta Timur,CIRACAS,SUSUKAN,RW 05,1,1,0,0,15 cm,25 oktober 2020,0,0,0,0,0,0,0,0,771.0
772,Jakarta Timur,CIRACAS,SUSUKAN,0,0,1,0,0,15 cm,25 oktober 2020,0,0,0,0,0,0,0,0,772.0
773,Jakarta Timur,CIRACAS,SUSUKAN,0,0,1,0,0,15 cm,25 oktober 2020,0,0,0,0,0,0,0,0,773.0
774,Jakarta Timur,CIRACAS,SUSUKAN,0,0,1,0,0,15 cm,25 oktober 2020,0,0,0,0,0,0,0,0,774.0
775,Jakarta Timur,CIRACAS,SUSUKAN,RW 07,1,1,0,0,40 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,775.0
776,Jakarta Timur,CIRACAS,SUSUKAN,RW 08,1,1,0,0,20 cm ,"10,11 oktober 2020",0,0,0,0,0,0,0,0,776.0
777,Jakarta Timur,CIRACAS,CIRACAS,RW 03,1,1,0,0,70 cm - 80 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,777.0
778,Jakarta Timur,CIRACAS,CIRACAS,0,0,1,0,0,70 cm - 80 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,778.0
779,Jakarta Timur,CIRACAS,CIRACAS,0,0,1,0,0,70 cm - 80 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,779.0
780,Jakarta Timur,CIRACAS,CIRACAS,0,0,1,0,0,70 cm - 80 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,780.0
781,Jakarta Timur,CIRACAS,CIRACAS,0,0,1,0,0,70 cm - 80 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,781.0
782,Jakarta Timur,CIRACAS,CIRACAS,RW 04,1,1,0,0,20 cm - 80 cm,"10,11,26 oktober 2020",0,0,0,0,0,0,0,0,782.0
783,Jakarta Timur,CIRACAS,CIRACAS,0,0,1,0,0,20 cm - 80 cm,"10,11,26 oktober 2020",0,0,0,0,0,0,0,0,783.0
784,Jakarta Timur,CIRACAS,CIRACAS,RW 05,1,1,0,0,70 cm - 80 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,784.0
785,Jakarta Timur,CIRACAS,CIRACAS,0,0,1,0,0,70 cm - 80 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,785.0
786,Jakarta Timur,CIRACAS,RAMBUTAN,RW 02,1,1,128,413,10 - 60 cm,"10,11,19,26,27 oktober 2020",0,0,0,0,0,3,1,0,786.0
787,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,77,385,10 - 50 cm,"10,11,19,26,27 oktober 2020",0,0,0,0,0,12,0,0,787.0
788,Jakarta Timur,CIRACAS,RAMBUTAN,RW 03,1,1,23,86,40 cm,"10,11,26,27 oktober 2020",0,0,0,0,0,0,0,0,788.0
789,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,45,225,10 - 50 cm,"10,11,19,26,27 oktober 2020",0,0,0,0,0,0,0,0,789.0
790,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,35,120,10 - 70 cm,"10,11,19,26,27 oktober 2020",0,0,0,0,0,11,0,0,790.0
791,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,35,120,10 - 40 cm,"10,11,19,26,27 oktober 2020",0,0,0,0,0,0,0,0,791.0
792,Jakarta Timur,CIRACAS,RAMBUTAN,RW 04,1,1,25,90,40 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,792.0
793,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,50,150,60 cm,"10,11 oktober 2020",0,0,0,0,0,30,1,0,793.0
794,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,50,150,50 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,794.0
795,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,60,178,40 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,795.0
796,Jakarta Timur,CIRACAS,RAMBUTAN,RW 05,1,1,98,117,70 cm,"10,11,26,27 oktober 2020",0,0,0,0,0,0,0,0,796.0
797,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,38,162,70 cm,"10,11,26,27 oktober 2020",0,0,0,0,0,20,1,0,797.0
798,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,7,30,40 cm,"10,11,26,27 oktober 2020",0,0,0,0,0,0,0,0,798.0
799,Jakarta Timur,CIRACAS,RAMBUTAN,RW 06,1,1,12,35,40 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,799.0
800,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,65,150,40 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,800.0
801,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,60,120,20 - 50 cm,"10,11,26,27 oktober 2020",0,0,0,0,0,0,0,0,801.0
802,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,80,160,20 - 40 cm,"10,11,26,27 oktober 2020",0,0,0,0,0,0,0,0,802.0
803,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,56,97,15 - 30 cm,"10,11,26,27 oktober 2020",0,0,0,0,0,0,0,0,803.0
804,Jakarta Timur,CIRACAS,RAMBUTAN,0,0,1,11,45,15 - 40 cm,"10,11,26,27 oktober 2020",0,0,0,0,0,0,0,0,804.0
805,Jakarta Timur,CIPAYUNG,BAMBU APUS,RW 02,1,1,0,0,60 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,805.0
806,Jakarta Timur,CIPAYUNG,BAMBU APUS,RW 03,1,1,0,0,100 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,806.0
807,Jakarta Timur,CIPAYUNG,CIPAYUNG,RW 04,1,1,0,0,30 cm ,"10,11 oktober 2020",0,0,0,0,0,0,0,0,807.0
808,Jakarta Timur,CIPAYUNG,SETU,RW 04,1,1,0,0,30 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,808.0
809,Jakarta Timur,CIPAYUNG,SETU,RW 03,1,1,0,0,50 cm - 60 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,809.0
810,Jakarta Timur,CIPAYUNG,SETU,0,0,1,0,0,50 cm - 60 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,810.0
811,Jakarta Timur,CIPAYUNG,LUBANG BUAYA,RW 09,1,1,0,0,40 cm - 50 cm,19 oktober 2020,0,0,0,0,0,0,0,0,811.0
812,Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 03,1,1,0,0,10 cm - 40 cm,"10,11,27,28 oktober 2020",0,0,0,0,0,0,0,0,812.0
813,Jakarta Timur,MAKASAR,CIPINANG MELAYU,0,0,1,0,0,10 cm - 40 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,813.0
814,Jakarta Timur,MAKASAR,CIPINANG MELAYU,0,0,1,0,0,10 cm - 40 cm,"10,11,27,28 oktober 2020",0,0,0,0,0,0,0,0,814.0
815,Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 04,1,1,0,0,10 - 30 cm,"27,28 oktober 2020",0,0,0,0,0,0,0,0,815.0
816,Jakarta Timur,MAKASAR,CIPINANG MELAYU,0,0,1,0,0,10 - 30 cm,"27,28 oktober 2020",0,0,0,0,0,0,0,0,816.0
817,Jakarta Timur,MAKASAR,CIPINANG MELAYU,0,0,1,0,0,10 cm - 40 cm,"10,11 oktober 2020",0,0,0,0,0,0,0,0,817.0
818,Jakarta Timur,MAKASAR,MAKASAR,RW 04,1,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,818.0
819,Jakarta Timur,MAKASAR,MAKASAR,0,0,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,819.0
820,Jakarta Timur,MAKASAR,MAKASAR,0,0,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,820.0
821,Jakarta Timur,MAKASAR,MAKASAR,RW 05,1,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,821.0
822,Jakarta Timur,MAKASAR,MAKASAR,0,0,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,822.0
823,Jakarta Timur,MAKASAR,MAKASAR,0,0,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,823.0
824,Jakarta Timur,MAKASAR,MAKASAR,RW 07,1,1,0,0,20 cm,11 oktober 2020,0,0,0,0,0,0,0,0,824.0
825,Jakarta Timur,MAKASAR,MAKASAR,0,0,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,825.0
826,Jakarta Timur,MAKASAR,MAKASAR,0,0,1,0,0,20 cm,11 oktober 2020,0,0,0,0,0,0,0,0,826.0
827,Jakarta Timur,MAKASAR,MAKASAR,0,0,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,827.0
828,Jakarta Timur,MAKASAR,PINANG RANTI,RW 04,1,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,828.0
829,Jakarta Timur,MAKASAR,KEBON PALA,RW 01,1,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,829.0
830,Jakarta Timur,MAKASAR,KEBON PALA,0,0,1,0,0,10 cm,11 oktober 2020,0,0,0,0,0,0,0,0,830.0
831,Jakarta Timur,MAKASAR,KEBON PALA,0,0,1,0,0,20 cm,11 oktober 2020,0,0,0,0,0,0,0,0,831.0
832,Jakarta Timur,MAKASAR,KEBON PALA,0,0,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,832.0
833,Jakarta Timur,MAKASAR,KEBON PALA,0,0,1,0,0,30 cm,11 oktober 2020,0,0,0,0,0,0,0,0,833.0
834,Jakarta Timur,MAKASAR,KEBON PALA,0,0,1,0,0,40 cm,11 oktober 2020,0,0,0,0,0,0,0,0,834.0
835,Jakarta Timur,MAKASAR,KEBON PALA,0,0,1,0,0,10 cm,11 oktober 2020,0,0,0,0,0,0,0,0,835.0
836,Jakarta Timur,MAKASAR,KEBON PALA,0,0,1,0,0,40 cm,11 oktober 2020,0,0,0,0,0,0,0,0,836.0
837,Jakarta Timur,MAKASAR,KEBON PALA,RW 04,1,1,0,0,80 cm,11 oktober 2020,0,0,0,0,0,0,0,0,837.0
838,Jakarta Timur,MAKASAR,KEBON PALA,RW 06,1,1,0,0,80 cm,11 oktober 2020,0,0,0,0,0,0,0,0,838.0
839,Jakarta Timur,MAKASAR,KEBON PALA,RW 09,1,1,0,0,10 cm,19 oktober 2020,0,0,0,0,0,0,0,0,839.0
