,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,Unnamed: 0.1
548,Jakarta Barat,KEMBANGAN,SRENGSENG,RW 03,1,1,0,0,20 cm,16 oktober 2020,0,0,0,0,0,0,0,0,548.0
549,Jakarta Barat,KEMBANGAN,SRENGSENG,RW 05,1,1,0,0,40 cm,16 oktober 2020,0,0,0,0,0,0,0,0,549.0
550,Jakarta Barat,KEMBANGAN,SRENGSENG,RW 06,1,1,0,0,50 cm,16 oktober 2020,0,0,0,0,0,0,0,0,550.0
551,Jakarta Barat,KEMBANGAN,SRENGSENG,RW 07,1,1,0,0,20 cm,11 oktober 2020,0,0,0,0,0,0,0,0,551.0
552,Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,RW 08,1,1,0,0,20 cm - 50 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,552.0
553,Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,0,0,1,0,0,20 cm - 50 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,553.0
554,Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,0,0,1,0,0,20 cm - 50 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,554.0
555,Jakarta Barat,CENGKARENG,DURI KOSAMBI,RW 04,1,1,0,0,30 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,555.0
556,Jakarta Barat,CENGKARENG,DURI KOSAMBI,0,0,1,0,0,30 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,556.0
557,Jakarta Barat,CENGKARENG,DURI KOSAMBI,0,0,1,0,0,25 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,557.0
558,Jakarta Barat,CENGKARENG,DURI KOSAMBI,RW 06,1,1,0,0,15 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,558.0
559,Jakarta Barat,CENGKARENG,DURI KOSAMBI,0,0,1,0,0,25 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,559.0
560,Jakarta Barat,CENGKARENG,RAWA BUAYA,RW 01,1,1,0,0,20 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,560.0
561,Jakarta Barat,CENGKARENG,RAWA BUAYA,0,0,1,0,0,20 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,561.0
562,Jakarta Barat,CENGKARENG,RAWA BUAYA,0,0,1,0,0,20 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,562.0
563,Jakarta Barat,CENGKARENG,RAWA BUAYA,RW 02,1,1,0,0,25 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,563.0
564,Jakarta Barat,CENGKARENG,RAWA BUAYA,RW 11,1,1,0,0,20 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,564.0
565,Jakarta Barat,CENGKARENG,RAWA BUAYA,0,0,1,0,0,10 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,565.0
566,Jakarta Barat,CENGKARENG,RAWA BUAYA,RW 12,1,1,0,0,15 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,566.0
567,Jakarta Barat,KALIDERES,PEGADUNGAN,RW 03,1,1,0,0,10 cm - 30 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,567.0
568,Jakarta Barat,KALIDERES,PEGADUNGAN,0,0,1,0,0,10 cm - 30 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,568.0
569,Jakarta Barat,KALIDERES,PEGADUNGAN,RW 05,1,1,0,0,10 cm - 30 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,569.0
570,Jakarta Barat,KALIDERES,PEGADUNGAN,0,0,1,0,0,10 cm - 30 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,570.0
571,Jakarta Barat,KALIDERES,PEGADUNGAN,RW 04,1,1,0,0,5 cm - 10 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,571.0
572,Jakarta Barat,KALIDERES,PEGADUNGAN,0,0,1,0,0,5 cm - 10 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,572.0
573,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,RW 02,1,1,0,0,10 cm - 100 cm,"04, 05, 10, 11, 27 oktober 2020",0,0,0,0,0,0,0,0,573.0
574,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,0,0,1,0,0,20 cm,16 oktober 2020,0,0,0,0,0,0,0,0,574.0
575,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,RW 03,1,1,0,0,50 cm,27 oktober 2020,0,0,0,0,0,0,0,0,575.0
576,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,0,0,1,0,0,25 cm,"04, 05 oktober 2020",0,0,0,0,0,0,0,0,576.0
577,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,RW 04,1,1,0,0,50 cm,"04, 05 oktober 2020",0,0,0,0,0,0,0,0,577.0
578,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,0,0,1,0,0,10 - 35 cm,"02, 16, 27 oktober 2020",0,0,0,0,0,0,0,0,578.0
579,Jakarta Selatan,MAMPANG PRAPATAN,TEGAL PARANG,RW 07,1,1,0,0,10 cm - 30 cm,"04, 05 oktober 2020",0,0,0,0,0,0,0,0,579.0
580,Jakarta Selatan,MAMPANG PRAPATAN,TEGAL PARANG,0,0,1,0,0,10 cm - 30 cm,"04, 05 oktober 2020",0,0,0,0,0,0,0,0,580.0
581,Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,RW 05,1,1,0,0,50 cm - 100 cm,05 oktober 2020,0,0,0,0,0,0,0,0,581.0
582,Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,RW 07,1,1,0,0,30 cm - 60 cm,05 oktober 2020,0,0,0,0,0,0,0,0,582.0
583,Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,RW 11,1,1,0,0,30 cm - 80 cm,05 oktober 2020,0,0,0,0,0,0,0,0,583.0
584,Jakarta Selatan,PANCORAN,KALIBATA,RW 09,1,1,0,0,30 cm,02 oktober 2020,0,0,0,0,0,0,0,0,584.0
585,Jakarta Selatan,PANCORAN,RAWAJATI,RW 03,1,1,0,0,10 cm - 30 cm,25 oktober 2020,0,0,0,0,0,0,0,0,585.0
586,Jakarta Selatan,PANCORAN,RAWAJATI,0,0,1,0,0,10 cm - 30 cm,25 oktober 2020,0,0,0,0,0,0,0,0,586.0
587,Jakarta Selatan,PANCORAN,RAWAJATI,RW 07,1,1,0,0,10 cm - 40 cm,25 oktober 2020,0,0,0,0,0,0,0,0,587.0
588,Jakarta Selatan,PANCORAN,RAWAJATI,0,0,1,0,0,10 cm - 40 cm,25 oktober 2020,0,0,0,0,0,0,0,0,588.0
589,Jakarta Selatan,PANCORAN,RAWAJATI,0,0,1,0,0,10 cm - 40 cm,25 oktober 2020,0,0,0,0,0,0,0,0,589.0
