Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
25,5 februari 2018,jakarta barat,"jakarta barat, tegal alur",14,0,20 - 30 cm
25,5 februari 2018,jakarta barat,"jakarta barat, tegal alur",15,0,20 - 30 cm
25,5 februari 2018,jakarta barat,"jakarta barat, tegal alur",16,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",01,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",02,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",03,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",04,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",05,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",06,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",07,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",08,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",09,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",10,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",11,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",12,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",13,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",14,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",15,0,20 - 30 cm
26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",16,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",01,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",02,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",03,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",04,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",05,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",06,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",07,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",08,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",09,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",10,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",11,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",12,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",13,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",14,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",15,0,20 - 30 cm
27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",16,0,20 - 30 cm
28,15 februari 2018,jakarta barat,"jakarta barat, kamal",01,0,30 - 50 cm
28,15 februari 2018,jakarta barat,"jakarta barat, kamal",02,0,30 - 50 cm
28,15 februari 2018,jakarta barat,"jakarta barat, kamal",03,0,30 - 50 cm
28,15 februari 2018,jakarta barat,"jakarta barat, kamal",04,0,30 - 50 cm
28,15 februari 2018,jakarta barat,"jakarta barat, kamal",05,0,30 - 50 cm
28,15 februari 2018,jakarta barat,"jakarta barat, kamal",06,0,30 - 50 cm
28,15 februari 2018,jakarta barat,"jakarta barat, kamal",07,0,30 - 50 cm
28,15 februari 2018,jakarta barat,"jakarta barat, kamal",08,0,30 - 50 cm
28,15 februari 2018,jakarta barat,"jakarta barat, kamal",09,0,30 - 50 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",01,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",02,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",03,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",04,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",05,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",06,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",07,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",09,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",10,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",11,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",12,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",13,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",15,0,5 - 60 cm
29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",16,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",01,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",02,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",03,0,5 - 60 cm
