Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
522,1 januari 2020,jakarta barat,"jakarta barat, kalideres",09,147,31 - 70 cm
522,1 januari 2020,jakarta barat,"jakarta barat, kalideres",10,147,31 - 70 cm
522,1 januari 2020,jakarta barat,"jakarta barat, kalideres",11,147,31 - 70 cm
522,1 januari 2020,jakarta barat,"jakarta barat, kalideres",12,147,31 - 70 cm
522,1 januari 2020,jakarta barat,"jakarta barat, kalideres",13,147,31 - 70 cm
522,1 januari 2020,jakarta barat,"jakarta barat, kalideres",16,147,31 - 70 cm
522,1 januari 2020,jakarta barat,"jakarta barat, kalideres",17,147,31 - 70 cm
523,1 januari 2020,jakarta barat,"jakarta barat, kamal",01,0,10 - 70 cm
523,1 januari 2020,jakarta barat,"jakarta barat, kamal",02,0,10 - 70 cm
523,1 januari 2020,jakarta barat,"jakarta barat, kamal",03,0,10 - 70 cm
523,1 januari 2020,jakarta barat,"jakarta barat, kamal",04,0,10 - 70 cm
523,1 januari 2020,jakarta barat,"jakarta barat, kamal",07,0,10 - 70 cm
523,1 januari 2020,jakarta barat,"jakarta barat, kamal",08,0,10 - 70 cm
523,1 januari 2020,jakarta barat,"jakarta barat, kamal",09,0,10 - 70 cm
524,1 januari 2020,jakarta barat,"jakarta barat, pegadungan",01,0,10 - 70 cm
524,1 januari 2020,jakarta barat,"jakarta barat, pegadungan",03,0,10 - 70 cm
524,1 januari 2020,jakarta barat,"jakarta barat, pegadungan",04,0,10 - 70 cm
524,1 januari 2020,jakarta barat,"jakarta barat, pegadungan",06,0,10 - 70 cm
524,1 januari 2020,jakarta barat,"jakarta barat, pegadungan",11,0,10 - 70 cm
525,1 januari 2020,jakarta barat,"jakarta barat, semanan",01,2112,31 - 200 cm
525,1 januari 2020,jakarta barat,"jakarta barat, semanan",03,2112,31 - 200 cm
525,1 januari 2020,jakarta barat,"jakarta barat, semanan",04,2112,31 - 200 cm
525,1 januari 2020,jakarta barat,"jakarta barat, semanan",07,2112,31 - 200 cm
525,1 januari 2020,jakarta barat,"jakarta barat, semanan",10,2112,31 - 200 cm
526,1 januari 2020,jakarta barat,"jakarta barat, tegal alur",03,1208,31 - 150 cm
526,1 januari 2020,jakarta barat,"jakarta barat, tegal alur",04,1208,31 - 150 cm
526,1 januari 2020,jakarta barat,"jakarta barat, tegal alur",11,1208,31 - 150 cm
526,1 januari 2020,jakarta barat,"jakarta barat, tegal alur",12,1208,31 - 150 cm
526,1 januari 2020,jakarta barat,"jakarta barat, tegal alur",15,1208,31 - 150 cm
527,1 januari 2020,jakarta barat,"jakarta barat, duri kepa",' 02,130,31 - 70 cm
527,1 januari 2020,jakarta barat,"jakarta barat, duri kepa",03,130,31 - 70 cm
527,1 januari 2020,jakarta barat,"jakarta barat, duri kepa",04,130,31 - 70 cm
527,1 januari 2020,jakarta barat,"jakarta barat, duri kepa",05,130,31 - 70 cm
527,1 januari 2020,jakarta barat,"jakarta barat, duri kepa",09,130,31 - 70 cm
527,1 januari 2020,jakarta barat,"jakarta barat, duri kepa",13,130,31 - 70 cm
527,1 januari 2020,jakarta barat,"jakarta barat, duri kepa",14,130,31 - 70 cm
528,1 januari 2020,jakarta barat,"jakarta barat, kedoya selatan",01,36,10 - 150 cm
528,1 januari 2020,jakarta barat,"jakarta barat, kedoya selatan",04,36,10 - 150 cm
528,1 januari 2020,jakarta barat,"jakarta barat, kedoya selatan",05,36,10 - 150 cm
529,27 januari 2020,jakarta barat,"jakarta barat, kedoya selatan",01,36,10 - 150 cm
529,27 januari 2020,jakarta barat,"jakarta barat, kedoya selatan",04,36,10 - 150 cm
529,27 januari 2020,jakarta barat,"jakarta barat, kedoya selatan",05,36,10 - 150 cm
530,1 januari 2020,jakarta barat,"jakarta barat, kedoya utara",02,1238,31 - 100 cm
530,1 januari 2020,jakarta barat,"jakarta barat, kedoya utara",04,1238,31 - 100 cm
530,1 januari 2020,jakarta barat,"jakarta barat, kedoya utara",05,1238,31 - 100 cm
531,1 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",01,0,10 - 140 cm
531,1 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",03,0,10 - 140 cm
531,1 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",04,0,10 - 140 cm
531,1 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",07,0,10 - 140 cm
531,1 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",08,0,10 - 140 cm
531,1 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",10,0,10 - 140 cm
531,1 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",11,0,10 - 140 cm
532,18 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",01,0,10 - 140 cm
532,18 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",03,0,10 - 140 cm
532,18 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",04,0,10 - 140 cm
532,18 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",07,0,10 - 140 cm
532,18 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",08,0,10 - 140 cm
532,18 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",10,0,10 - 140 cm
532,18 januari 2020,jakarta barat,"jakarta barat, sukabumi utara",11,0,10 - 140 cm
533,18 januari 2020,jakarta barat,"jakarta barat, sukabumi selatan",01,0,30 - 100 cm
533,18 januari 2020,jakarta barat,"jakarta barat, sukabumi selatan",02,0,30 - 100 cm
533,18 januari 2020,jakarta barat,"jakarta barat, sukabumi selatan",04,0,30 - 100 cm
533,18 januari 2020,jakarta barat,"jakarta barat, sukabumi selatan",08,0,30 - 100 cm
534,18 januari 2020,jakarta barat,"jakarta barat, kelapa dua ",04,0,60 cm
535,1 januari 2020,jakarta barat,"jakarta barat, joglo",02,0,31 -  150 cm
535,1 januari 2020,jakarta barat,"jakarta barat, joglo",06,0,31 -  150 cm
536,1 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",01,710,31 - 120 cm
536,1 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",02,710,31 - 120 cm
536,1 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",03,710,31 - 120 cm
536,1 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",04,710,31 - 120 cm
536,1 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",05,710,31 - 120 cm
536,1 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",06,710,31 - 120 cm
536,1 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",08,710,31 - 120 cm
536,1 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",09,710,31 - 120 cm
537,27 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",01,710,31 - 120 cm
537,27 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",02,710,31 - 120 cm
537,27 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",03,710,31 - 120 cm
537,27 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",04,710,31 - 120 cm
537,27 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",05,710,31 - 120 cm
537,27 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",06,710,31 - 120 cm
537,27 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",08,710,31 - 120 cm
537,27 januari 2020,jakarta barat,"jakarta barat, kembangan selatan",09,710,31 - 120 cm
538,1 januari 2020,jakarta barat,"jakarta barat, kembangan utara",01,961,30 - 90 cm
538,1 januari 2020,jakarta barat,"jakarta barat, kembangan utara",02,961,30 - 90 cm
538,1 januari 2020,jakarta barat,"jakarta barat, kembangan utara",03,961,30 - 90 cm
538,1 januari 2020,jakarta barat,"jakarta barat, kembangan utara",04,961,30 - 90 cm
538,1 januari 2020,jakarta barat,"jakarta barat, kembangan utara",05,961,30 - 90 cm
538,1 januari 2020,jakarta barat,"jakarta barat, kembangan utara",06,961,30 - 90 cm
538,1 januari 2020,jakarta barat,"jakarta barat, kembangan utara",08,961,30 - 90 cm
538,1 januari 2020,jakarta barat,"jakarta barat, kembangan utara",10,961,30 - 90 cm
538,1 januari 2020,jakarta barat,"jakarta barat, kembangan utara",11,961,30 - 90 cm
539,18 januari 2020,jakarta barat,"jakarta barat, kembangan utara",01,961,30 - 90 cm
539,18 januari 2020,jakarta barat,"jakarta barat, kembangan utara",02,961,30 - 90 cm
539,18 januari 2020,jakarta barat,"jakarta barat, kembangan utara",03,961,30 - 90 cm
539,18 januari 2020,jakarta barat,"jakarta barat, kembangan utara",04,961,30 - 90 cm
539,18 januari 2020,jakarta barat,"jakarta barat, kembangan utara",05,961,30 - 90 cm
539,18 januari 2020,jakarta barat,"jakarta barat, kembangan utara",06,961,30 - 90 cm
539,18 januari 2020,jakarta barat,"jakarta barat, kembangan utara",08,961,30 - 90 cm
539,18 januari 2020,jakarta barat,"jakarta barat, kembangan utara",10,961,30 - 90 cm
539,18 januari 2020,jakarta barat,"jakarta barat, kembangan utara",11,961,30 - 90 cm
540,1 januari 2020,jakarta barat,"jakarta barat, meruya selatan",07,0,80 cm
541,1 januari 2020,jakarta barat,"jakarta barat, meruya utara",05,0,31 - 70 cm
541,1 januari 2020,jakarta barat,"jakarta barat, meruya utara",06,0,31 - 70 cm
542,1 januari 2020,jakarta barat,"jakarta barat, srengseng",05,15,71 - 150 cm
542,1 januari 2020,jakarta barat,"jakarta barat, srengseng",07,15,71 - 150 cm
543,1 januari 2020,jakarta barat,"jakarta barat, jati pulo",01,0,10 - 30 cm
543,1 januari 2020,jakarta barat,"jakarta barat, jati pulo",02,0,10 - 30 cm
543,1 januari 2020,jakarta barat,"jakarta barat, jati pulo",03,0,10 - 30 cm
543,1 januari 2020,jakarta barat,"jakarta barat, jati pulo",05,0,10 - 30 cm
543,1 januari 2020,jakarta barat,"jakarta barat, jati pulo",09,0,10 - 30 cm
544,18 januari 2020,jakarta barat,"jakarta barat, jati pulo",01,0,10 - 30 cm
544,18 januari 2020,jakarta barat,"jakarta barat, jati pulo",02,0,10 - 30 cm
544,18 januari 2020,jakarta barat,"jakarta barat, jati pulo",03,0,10 - 30 cm
544,18 januari 2020,jakarta barat,"jakarta barat, jati pulo",05,0,10 - 30 cm
544,18 januari 2020,jakarta barat,"jakarta barat, jati pulo",09,0,10 - 30 cm
545,1 januari 2020,jakarta barat,"jakarta barat, kemanggisan",02,0,31 - 150 cm
545,1 januari 2020,jakarta barat,"jakarta barat, kemanggisan",03,0,31 - 150 cm
545,1 januari 2020,jakarta barat,"jakarta barat, kemanggisan",04,0,31 - 150 cm
545,1 januari 2020,jakarta barat,"jakarta barat, kemanggisan",05,0,31 - 150 cm
545,1 januari 2020,jakarta barat,"jakarta barat, kemanggisan",06,0,31 - 150 cm
545,1 januari 2020,jakarta barat,"jakarta barat, kemanggisan",08,0,31 - 150 cm
546,18 januari 2020,jakarta barat,"jakarta barat, kemanggisan",02,0,31 - 150 cm
546,18 januari 2020,jakarta barat,"jakarta barat, kemanggisan",03,0,31 - 150 cm
546,18 januari 2020,jakarta barat,"jakarta barat, kemanggisan",04,0,31 - 150 cm
546,18 januari 2020,jakarta barat,"jakarta barat, kemanggisan",05,0,31 - 150 cm
546,18 januari 2020,jakarta barat,"jakarta barat, kemanggisan",06,0,31 - 150 cm
546,18 januari 2020,jakarta barat,"jakarta barat, kemanggisan",08,0,31 - 150 cm
547,1 januari 2020,jakarta barat,"jakarta barat, kota bambu selatan",01,0,31 - 150 cm
548,1 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",02,0,10 - 70 cm
548,1 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",03,0,10 - 70 cm
548,1 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",04,0,10 - 70 cm
548,1 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",08,0,10 - 70 cm
548,1 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",09,0,10 - 70 cm
549,18 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",02,0,10 - 70 cm
549,18 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",03,0,10 - 70 cm
549,18 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",04,0,10 - 70 cm
549,18 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",08,0,10 - 70 cm
549,18 januari 2020,jakarta barat,"jakarta barat, kota bambu utara",09,0,10 - 70 cm
550,1 januari 2020,jakarta barat,"jakarta barat, palmerah",03,0,31 - 70 cm
550,1 januari 2020,jakarta barat,"jakarta barat, palmerah",12,0,31 - 70 cm
550,1 januari 2020,jakarta barat,"jakarta barat, palmerah",13,0,31 - 70 cm
550,1 januari 2020,jakarta barat,"jakarta barat, palmerah",15,0,31 - 70 cm
551,18 januari 2020,jakarta barat,"jakarta barat, palmerah",03,0,31 - 70 cm
551,18 januari 2020,jakarta barat,"jakarta barat, palmerah",12,0,31 - 70 cm
551,18 januari 2020,jakarta barat,"jakarta barat, palmerah",13,0,31 - 70 cm
551,18 januari 2020,jakarta barat,"jakarta barat, palmerah",15,0,31 - 70 cm
552,1 januari 2020,jakarta barat,"jakarta barat, slipi",03,0,31 - 70 cm
552,1 januari 2020,jakarta barat,"jakarta barat, slipi",04,0,31 - 70 cm
552,1 januari 2020,jakarta barat,"jakarta barat, slipi",05,0,31 - 70 cm
553,1 januari 2020,jakarta selatan,"jakarta selatan, cilandak barat",02,300,71 -180 cm
553,1 januari 2020,jakarta selatan,"jakarta selatan, cilandak barat",12,300,71 -180 cm
554,1 januari 2020,jakarta selatan,"jakarta selatan, cipete selatan",07,65,10 - 30 cm
555,1 januari 2020,jakarta selatan,"jakarta selatan, lebak bulus",04,91,31 - 70 cm
555,1 januari 2020,jakarta selatan,"jakarta selatan, lebak bulus",08,91,31 - 70 cm
556,24 januari 2020,jakarta selatan,"jakarta selatan, lebak bulus",04,91,31 - 70 cm
556,24 januari 2020,jakarta selatan,"jakarta selatan, lebak bulus",08,91,31 - 70 cm
557,26 januari 2020,jakarta selatan,"jakarta selatan, lebak bulus",04,91,31 - 70 cm
557,26 januari 2020,jakarta selatan,"jakarta selatan, lebak bulus",08,91,31 - 70 cm
558,1 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",01,134,31 - 70 cm
558,1 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",02,134,31 - 70 cm
558,1 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",03,134,31 - 70 cm
558,1 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",07,134,31 - 70 cm
558,1 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",09,134,31 - 70 cm
558,1 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",10,134,31 - 70 cm
559,26 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",01,134,31 - 70 cm
559,26 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",02,134,31 - 70 cm
559,26 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",03,134,31 - 70 cm
559,26 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",07,134,31 - 70 cm
559,26 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",09,134,31 - 70 cm
559,26 januari 2020,jakarta selatan,"jakarta selatan, pondok labu",10,134,31 - 70 cm
560,1 januari 2020,jakarta selatan,"jakarta selatan, jagakarsa",02,235,31 - 70 cm
560,1 januari 2020,jakarta selatan,"jakarta selatan, jagakarsa",04,235,31 - 70 cm
561,1 januari 2020,jakarta selatan,"jakarta selatan, tanjung barat",01,0,31 - 70 cm
561,1 januari 2020,jakarta selatan,"jakarta selatan, tanjung barat",04,0,31 - 70 cm
561,1 januari 2020,jakarta selatan,"jakarta selatan, tanjung barat",05,0,31 - 70 cm
562,1 januari 2020,jakarta selatan,"jakarta selatan, ciganjur",. 01,150,30 - 100 cm
562,1 januari 2020,jakarta selatan,"jakarta selatan, ciganjur",05,150,30 - 100 cm
562,1 januari 2020,jakarta selatan,"jakarta selatan, ciganjur",06,150,30 - 100 cm
563,1 januari 2020,jakarta selatan,"jakarta selatan, srengseng sawah",.08,372,10 - 30 cm
564,1 januari 2020,jakarta selatan,"jakarta selatan, lenteng agung",. 01,507,10 - 30 cm
564,1 januari 2020,jakarta selatan,"jakarta selatan, lenteng agung",02,507,10 - 30 cm
564,1 januari 2020,jakarta selatan,"jakarta selatan, lenteng agung",03,507,10 - 30 cm
564,1 januari 2020,jakarta selatan,"jakarta selatan, lenteng agung",07,507,10 - 30 cm
565,1 januari 2020,jakarta selatan,"jakarta selatan, cipedak",.01,175,10 - 30 cm
566,1 januari 2020,jakarta selatan,"jakarta selatan, gunung",01,40,71 - 150 cm
566,1 januari 2020,jakarta selatan,"jakarta selatan, gunung",06,40,71 - 150 cm
567,1 januari 2020,jakarta selatan,"jakarta selatan, kramat pela",02,52,71 - 150 cm
567,1 januari 2020,jakarta selatan,"jakarta selatan, kramat pela",09,52,71 - 150 cm
567,1 januari 2020,jakarta selatan,"jakarta selatan, kramat pela",10,52,71 - 150 cm
568,18 januari 2020,jakarta selatan,"jakarta selatan, kramat pela",02,52,71 - 150 cm
568,18 januari 2020,jakarta selatan,"jakarta selatan, kramat pela",09,52,71 - 150 cm
568,18 januari 2020,jakarta selatan,"jakarta selatan, kramat pela",10,52,71 - 150 cm
569,1 januari 2020,jakarta selatan,"jakarta selatan, petogogan",01,0,71 - 150 cm
569,1 januari 2020,jakarta selatan,"jakarta selatan, petogogan",02,0,71 - 150 cm
569,1 januari 2020,jakarta selatan,"jakarta selatan, petogogan",03,0,71 - 150 cm
570,18 januari 2020,jakarta selatan,"jakarta selatan, petogogan",01,0,71 - 150 cm
570,18 januari 2020,jakarta selatan,"jakarta selatan, petogogan",02,0,71 - 150 cm
570,18 januari 2020,jakarta selatan,"jakarta selatan, petogogan",03,0,71 - 150 cm
571,1 januari 2020,jakarta selatan,"jakarta selatan, pulo",03,16,30 - 150 cm
571,1 januari 2020,jakarta selatan,"jakarta selatan, pulo",07,16,30 - 150 cm
572,1 januari 2020,jakarta selatan,"jakarta selatan, rawa barat",05,99,71 - 150 cm
573,1 januari 2020,jakarta selatan,"jakarta selatan, cipete utara",.01,231,10 - 70 cm
573,1 januari 2020,jakarta selatan,"jakarta selatan, cipete utara",02,231,10 - 70 cm
573,1 januari 2020,jakarta selatan,"jakarta selatan, cipete utara",03,231,10 - 70 cm
573,1 januari 2020,jakarta selatan,"jakarta selatan, cipete utara",04,231,10 - 70 cm
573,1 januari 2020,jakarta selatan,"jakarta selatan, cipete utara",06,231,10 - 70 cm
573,1 januari 2020,jakarta selatan,"jakarta selatan, cipete utara",07,231,10 - 70 cm
573,1 januari 2020,jakarta selatan,"jakarta selatan, cipete utara",09,231,10 - 70 cm
573,1 januari 2020,jakarta selatan,"jakarta selatan, cipete utara",13,231,10 - 70 cm
574,1 januari 2020,jakarta selatan,"jakarta selatan, cipulir",05,675,30 - 150 cm
574,1 januari 2020,jakarta selatan,"jakarta selatan, cipulir",06,675,30 - 150 cm
574,1 januari 2020,jakarta selatan,"jakarta selatan, cipulir",07,675,30 - 150 cm
574,1 januari 2020,jakarta selatan,"jakarta selatan, cipulir",08,675,30 - 150 cm
574,1 januari 2020,jakarta selatan,"jakarta selatan, cipulir",09,675,30 - 150 cm
574,1 januari 2020,jakarta selatan,"jakarta selatan, cipulir",10,675,30 - 150 cm
575,1 januari 2020,jakarta selatan,"jakarta selatan, grogol selatan",05,250,31 - 70 cm
575,1 januari 2020,jakarta selatan,"jakarta selatan, grogol selatan",06,250,31 - 70 cm
576,18 januari 2020,jakarta selatan,"jakarta selatan, grogol selatan",05,250,31 - 70 cm
576,18 januari 2020,jakarta selatan,"jakarta selatan, grogol selatan",06,250,31 - 70 cm
577,1 januari 2020,jakarta selatan,"jakarta selatan, grogol utara",. 04,0,20 - 60 cm
577,1 januari 2020,jakarta selatan,"jakarta selatan, grogol utara",05,0,20 - 60 cm
577,1 januari 2020,jakarta selatan,"jakarta selatan, grogol utara",14,0,20 - 60 cm
578,18 januari 2020,jakarta selatan,"jakarta selatan, grogol utara",. 04,0,20 - 60 cm
578,18 januari 2020,jakarta selatan,"jakarta selatan, grogol utara",05,0,20 - 60 cm
578,18 januari 2020,jakarta selatan,"jakarta selatan, grogol utara",14,0,20 - 60 cm
579,1 januari 2020,jakarta selatan,"jakarta selatan, kebayoran lama selatan",10,55,71 - 150 cm
580,1 januari 2020,jakarta selatan,"jakarta selatan, kebayoran lama utara",11,700,31 - 70 cm
581,1 januari 2020,jakarta selatan,"jakarta selatan, pondok pinang",05,962,31 - 150 cm
581,1 januari 2020,jakarta selatan,"jakarta selatan, pondok pinang",08,962,31 - 150 cm
582,1 januari 2020,jakarta selatan,"jakarta selatan, bangka",01,1041,31 - 150 cm
582,1 januari 2020,jakarta selatan,"jakarta selatan, bangka",02,1041,31 - 150 cm
582,1 januari 2020,jakarta selatan,"jakarta selatan, bangka",03,1041,31 - 150 cm
582,1 januari 2020,jakarta selatan,"jakarta selatan, bangka",04,1041,31 - 150 cm
583,1 januari 2020,jakarta selatan,"jakarta selatan, kuningan barat",01,816,71 - 150 cm
583,1 januari 2020,jakarta selatan,"jakarta selatan, kuningan barat",02,816,71 - 150 cm
583,1 januari 2020,jakarta selatan,"jakarta selatan, kuningan barat",03,816,71 - 150 cm
583,1 januari 2020,jakarta selatan,"jakarta selatan, kuningan barat",04,816,71 - 150 cm
583,1 januari 2020,jakarta selatan,"jakarta selatan, kuningan barat",05,816,71 - 150 cm
584,1 januari 2020,jakarta selatan,"jakarta selatan, mampang prapatan",04,797,31 - 150 cm
584,1 januari 2020,jakarta selatan,"jakarta selatan, mampang prapatan",06,797,31 - 150 cm
585,1 januari 2020,jakarta selatan,"jakarta selatan, pela mampang",04,1099,10 - 150 cm
585,1 januari 2020,jakarta selatan,"jakarta selatan, pela mampang",06,1099,10 - 150 cm
585,1 januari 2020,jakarta selatan,"jakarta selatan, pela mampang",09,1099,10 - 150 cm
585,1 januari 2020,jakarta selatan,"jakarta selatan, pela mampang",11,1099,10 - 150 cm
586,1 januari 2020,jakarta selatan,"jakarta selatan, tegal parang",03,1058,31 - 150 cm
586,1 januari 2020,jakarta selatan,"jakarta selatan, tegal parang",04,1058,31 - 150 cm
586,1 januari 2020,jakarta selatan,"jakarta selatan, tegal parang",05,1058,31 - 150 cm
586,1 januari 2020,jakarta selatan,"jakarta selatan, tegal parang",06,1058,31 - 150 cm
586,1 januari 2020,jakarta selatan,"jakarta selatan, tegal parang",07,1058,31 - 150 cm
587,1 januari 2020,jakarta selatan,"jakarta selatan, cikoko",01,147,71 - 150 cm
588,1 januari 2020,jakarta selatan,"jakarta selatan, kalibata",01,3615,31 - 200 cm
588,1 januari 2020,jakarta selatan,"jakarta selatan, kalibata",04,3615,31 - 200 cm
588,1 januari 2020,jakarta selatan,"jakarta selatan, kalibata",05,3615,31 - 200 cm
588,1 januari 2020,jakarta selatan,"jakarta selatan, kalibata",06,3615,31 - 200 cm
588,1 januari 2020,jakarta selatan,"jakarta selatan, kalibata",08,3615,31 - 200 cm
588,1 januari 2020,jakarta selatan,"jakarta selatan, kalibata",09,3615,31 - 200 cm
588,1 januari 2020,jakarta selatan,"jakarta selatan, kalibata",10,3615,31 - 200 cm
589,1 januari 2020,jakarta selatan,"jakarta selatan, pancoran",03,335,10 - 30 cm
589,1 januari 2020,jakarta selatan,"jakarta selatan, pancoran",04,335,10 - 30 cm
590,1 januari 2020,jakarta selatan,"jakarta selatan, pengadegan",01,1540,71 - 200 cm
590,1 januari 2020,jakarta selatan,"jakarta selatan, pengadegan",02,1540,71 - 200 cm
591,9 januari 2020,jakarta selatan,"jakarta selatan, pengadegan",01,1540,71 - 200 cm
591,9 januari 2020,jakarta selatan,"jakarta selatan, pengadegan",02,1540,71 - 200 cm
592,1 januari 2020,jakarta selatan,"jakarta selatan, rawajati",03,405,10 - 70 cm
592,1 januari 2020,jakarta selatan,"jakarta selatan, rawajati",07,405,10 - 70 cm
593,9 januari 2020,jakarta selatan,"jakarta selatan, rawajati",03,405,10 - 70 cm
593,9 januari 2020,jakarta selatan,"jakarta selatan, rawajati",07,405,10 - 70 cm
594,18 januari 2020,jakarta selatan,"jakarta selatan, rawajati",03,405,10 - 70 cm
594,18 januari 2020,jakarta selatan,"jakarta selatan, rawajati",07,405,10 - 70 cm
595,1 januari 2020,jakarta selatan,"jakarta selatan, duren tiga",01,345,10 - 30 cm
595,1 januari 2020,jakarta selatan,"jakarta selatan, duren tiga",02,345,10 - 30 cm
595,1 januari 2020,jakarta selatan,"jakarta selatan, duren tiga",05,345,10 - 30 cm
596,18 januari 2020,jakarta selatan,"jakarta selatan, duren tiga",01,345,10 - 30 cm
596,18 januari 2020,jakarta selatan,"jakarta selatan, duren tiga",02,345,10 - 30 cm
596,18 januari 2020,jakarta selatan,"jakarta selatan, duren tiga",05,345,10 - 30 cm
597,1 januari 2020,jakarta selatan,"jakarta selatan, cilandak timur",01,440,71 - 175 cm
597,1 januari 2020,jakarta selatan,"jakarta selatan, cilandak timur",03,440,71 - 175 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",01,781,31 - 70 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",02,781,31 - 70 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",03,781,31 - 70 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",04,781,31 - 70 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",05,781,31 - 70 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",06,781,31 - 70 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",07,781,31 - 70 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",08,781,31 - 70 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",09,781,31 - 70 cm
598,1 januari 2020,jakarta selatan,"jakarta selatan, jati padang",010,781,31 - 70 cm
599,1 januari 2020,jakarta selatan,"jakarta selatan, kebagusan",01,185,120 cm
599,1 januari 2020,jakarta selatan,"jakarta selatan, kebagusan",02,185,120 cm
599,1 januari 2020,jakarta selatan,"jakarta selatan, kebagusan",03,185,120 cm
599,1 januari 2020,jakarta selatan,"jakarta selatan, kebagusan",04,185,120 cm
599,1 januari 2020,jakarta selatan,"jakarta selatan, kebagusan",05,185,120 cm
599,1 januari 2020,jakarta selatan,"jakarta selatan, kebagusan",06,185,120 cm
599,1 januari 2020,jakarta selatan,"jakarta selatan, kebagusan",07,185,120 cm
600,1 januari 2020,jakarta selatan,"jakarta selatan, pejaten timur",05,0,31 - 200 cm
600,1 januari 2020,jakarta selatan,"jakarta selatan, pejaten timur",06,0,31 - 200 cm
600,1 januari 2020,jakarta selatan,"jakarta selatan, pejaten timur",07,0,31 - 200 cm
600,1 januari 2020,jakarta selatan,"jakarta selatan, pejaten timur",08,0,31 - 200 cm
601,9 januari 2020,jakarta selatan,"jakarta selatan, pejaten timur",05,0,31 - 200 cm
601,9 januari 2020,jakarta selatan,"jakarta selatan, pejaten timur",06,0,31 - 200 cm
601,9 januari 2020,jakarta selatan,"jakarta selatan, pejaten timur",07,0,31 - 200 cm
601,9 januari 2020,jakarta selatan,"jakarta selatan, pejaten timur",08,0,31 - 200 cm
602,24 januari 2020,jakarta selatan,"jakarta selatan, pejaten barat",08,0,60 - 80 cm
603,1 januari 2020,jakarta selatan,"jakarta selatan, bintaro",04,596,71 - 150 cm
603,1 januari 2020,jakarta selatan,"jakarta selatan, bintaro",05,596,71 - 150 cm
603,1 januari 2020,jakarta selatan,"jakarta selatan, bintaro",12,596,71 - 150 cm
604,27 januari 2020,jakarta selatan,"jakarta selatan, bintaro",04,596,71 - 150 cm
