,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
71,25,5 februari 2018,jakarta barat,"jakarta barat, tegal alur",14,0,20 - 30 
72,25,5 februari 2018,jakarta barat,"jakarta barat, tegal alur",15,0,20 - 30 
73,25,5 februari 2018,jakarta barat,"jakarta barat, tegal alur",16,0,20 - 30 
74,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",1,0,20 - 30 
75,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",2,0,20 - 30 
76,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",3,0,20 - 30 
77,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",4,0,20 - 30 
78,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",5,0,20 - 30 
79,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",6,0,20 - 30 
80,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",7,0,20 - 30 
81,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",8,0,20 - 30 
82,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",9,0,20 - 30 
83,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",10,0,20 - 30 
84,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",11,0,20 - 30 
85,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",12,0,20 - 30 
86,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",13,0,20 - 30 
87,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",14,0,20 - 30 
88,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",15,0,20 - 30 
89,26,15 februari 2018,jakarta barat,"jakarta barat, tegal alur",16,0,20 - 30 
90,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",1,0,20 - 30 
91,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",2,0,20 - 30 
92,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",3,0,20 - 30 
