,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
6,Jakarta Timur,KEC. MAKASAR,KEL. CAWANG,"03, 05",2,5,0,0,30 - 100 cm, 09 Oktober oktober 2019,0,0,0,0,0,0,0,0
0,Jakarta Barat,KEC. CENGKARENG,KEL. RAWA BUAYA,11,1,1,0,0,15  cm, 17 desember 2019,0,0,0,0,0,0,0,0
1,Jakarta Barat,KEC. KEBON JERUK,KEL. SUKABUMI SELATAN ,"01, 02, 04, 05, 07, 08",6,6,0,0,20-100 cm, 17 desember 2019,0,0,0,0,0,0,0,0
2,Jakarta Barat,KEC. PALMERAH,KEL. KOTA BAMBU UTARA,6,1,1,0,0,20-30 cm , 17 desember 2019,0,0,0,0,0,0,0,0
3,Jakarta Barat,KEC. PALMERAH,KEL. PALMERAH,5,1,1,0,0,40cm , 27 desember 2019,0,0,0,0,0,0,0,0
4,Jakarta Barat,KEC. KALI DERES,KEL. TEGAL ALUR,"01, 08, 03",3,7,210,1264,30-70 cm , 25 desember 2019,0,0,0,0,0,0,0,0
5,Jakarta Barat,KEC. KALI DERES,KEL. KAMAL ,6,1,1,0,0,30 cm , 25 desember 2019,0,0,0,0,0,0,0,0
6,Jakarta Selatan,KEC. PASAR MINGGU,KEL. JATI PADANG,"04, 06, 03, 02, 010",5,8,0,0,20 - 60  cm," 23, 27 desember 2019",0,0,0,0,0,0,0,0
7,Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. PONDOK PINANG,"05, 08",2,8,0,0,25 - 75 cm ," 26, 27 desember 2019",0,0,0,0,0,0,0,0
8,Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. CIPULIR,10,1,1,0,0,25 - 40 cm," 26, 27 desember 2019",0,0,0,0,0,0,0,0
9,Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. KEBAYORAN LAMA SELATAN ,4,1,1,0,0,50 cm ,27 desember 2019,0,0,0,0,0,0,0,0
10,Jakarta Selatan,KEC. CILANDAK,KEL CILANDAK BARAT,2,1,1,0,0,60 cm,"27,  desember 2019",0,0,0,0,0,0,0,0
11,Jakarta Selatan,KEC. CILANDAK,KEL PONDOK LABU,"01, 03, 07, 010",4,10,0,0,30 - 70 cm,"27,  desember 2019",0,0,0,0,0,0,0,0
12,Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. CIPETE UTARA,"06, 010",2,4,0,0,20 - 75 cm ,"27,  desember 2019",0,0,0,0,0,0,0,0
13,Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. PETOGOGAN,3,1,1,0,0,45 cm ,"27,  desember 2019",0,0,0,0,0,0,0,0
14,Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. GUNUNG,1,1,6,0,0,50 - 80 cm ,"27,  desember 2019",0,0,0,0,0,0,0,0
15,Jakarta Timur,KEC. MAKASAR,KEL. KEBON PALA,"06, 04, 05",3,3,0,0,30 - 50 cm ," 23, 27 desember 2019",0,0,0,0,0,0,0,0
16,Jakarta Timur,KEC. KRAMAT JATI,KEL. BATU AMPAR,4,1,1,0,0,40 cm ,"27,  desember 2019",0,0,0,0,0,0,0,0
17,Jakarta Timur,KEC. KRAMAT JATI,KEL. CAWANG,3,1,2,0,0,50 cm ,"27,  desember 2019",0,0,0,0,0,0,0,0
18,Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05, 07, 08, ",4,25,106,337,20  - 40 cm ,"27, 31 desember 2019",0,0,0,0,0,0,0,0
19,Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,7,1,10,0,0,20 - 50 cm,"27,  desember 2019",0,0,0,0,0,0,0,0
