,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
0,Jakarta Barat,PENJARINGAN,KAMAL MUARA,"01, 04",2,12,0,0,20 - 30 cm, 02 januari 2018,0,0,0,0,0,0,0,0
1,Jakarta Utara,KALIDERES,KAMAL,"1, 4",2,3,0,0,10 - 25 cm," 03, 04, 05, 18, 31 januari 2018",0,0,0,0,0,0,0,0
2,Jakarta Utara,GROGOL PETAMBURAN,JELAMBAR BARU,1,1,2,0,0,15 cm, 03 januari 2018,0,0,0,0,0,0,0,0
3,Jakarta Utara,GROGOL PETAMBURAN,JELAMBAR,7,1,1,0,0,20 cm, 03 januari 2018,0,0,0,0,0,0,0,0
4,Jakarta Utara,KEMBANGAN,KEMBANGAN UTARA,"3, 4, 5, 6",4,2,0,0,5 - 20 cm, 18 januari 2018,0,0,0,0,0,0,0,0
5,Jakarta Utara,CENGKARENG,KAPUK,"02, 05, 06, 07, 09, 12, 13, 15, 16",9,21,0,0,5 - 30 cm, 18 januari 2018,0,0,0,0,0,0,0,0
6,Jakarta Utara,CENGKARENG,RAWA BUAYA,"01, 02",2,1,0,0,15 - 20 cm , 18 januari 2018,0,0,0,0,0,0,0,0
7,Jakarta Utara,CENGKARENG,CENGKARENG TIMUR,"03, 04, 12, 13",4,12,0,0,10 - 40 cm, 18 januari 2018,0,0,0,0,0,0,0,0
0,Jakarta Pusat,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,"05, 07, 08",3,7,0,0,10 - 35 cm," 15, 16 februari 2018",0,0,0,0,0,0,0,0
1,Jakarta Pusat,KEMAYORAN,SERDANG,"01, 07",2,6,0,0,10 - 50 cm, 15 februari 2018,0,0,0,0,0,0,0,0
2,Jakarta Utara,PENJARINGAN,KAMAL MUARA,"01, 02, 04",3,5,0,0,5 - 10 cm," 01, 15 februari 2018",0,0,0,0,0,0,0,0
3,Jakarta Utara,PENJARINGAN,PENJARINGAN,"12, 17",2,3,0,0,10 - 35 cm, 15 februari 2018,0,0,0,0,0,0,0,0
4,Jakarta Utara,PENJARINGAN,KAPUK MUARA,1,1,1,0,0,05 - 15 cm, 15 februari 2018,0,0,0,0,0,0,0,0
5,Jakarta Utara,CILINCING,SUKAPURA,"01, 10",2,8,7,30,10 - 50 cm," 15, 16 februari 2018",0,0,0,0,30,1,0,0
6,Jakarta Utara,KELAPA GADING,PEGANGSAAN DUA,3,1,1,30,100,60 - 70 cm," 15, 16 februari 2018",0,0,0,0,100,1,0,0
7,Jakarta Utara,KOJA,TUGU SELATAN,4,1,2,38,140,40 cm," 15, 16 februari 2018",0,0,0,0,140,1,0,0
