,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,tahun
80,2018-02-15,jakarta barat,"jakarta barat, tegal alur",7,0,30,2018
81,2018-02-15,jakarta barat,"jakarta barat, tegal alur",8,0,30,2018
82,2018-02-15,jakarta barat,"jakarta barat, tegal alur",9,0,30,2018
83,2018-02-15,jakarta barat,"jakarta barat, tegal alur",10,0,30,2018
84,2018-02-15,jakarta barat,"jakarta barat, tegal alur",11,0,30,2018
85,2018-02-15,jakarta barat,"jakarta barat, tegal alur",12,0,30,2018
86,2018-02-15,jakarta barat,"jakarta barat, tegal alur",13,0,30,2018
87,2018-02-15,jakarta barat,"jakarta barat, tegal alur",14,0,30,2018
88,2018-02-15,jakarta barat,"jakarta barat, tegal alur",15,0,30,2018
89,2018-02-15,jakarta barat,"jakarta barat, tegal alur",16,0,30,2018
90,2018-02-17,jakarta barat,"jakarta barat, tegal alur",1,0,30,2018
91,2018-02-17,jakarta barat,"jakarta barat, tegal alur",2,0,30,2018
92,2018-02-17,jakarta barat,"jakarta barat, tegal alur",3,0,30,2018
93,2018-02-17,jakarta barat,"jakarta barat, tegal alur",4,0,30,2018
94,2018-02-17,jakarta barat,"jakarta barat, tegal alur",5,0,30,2018
95,2018-02-17,jakarta barat,"jakarta barat, tegal alur",6,0,30,2018
96,2018-02-17,jakarta barat,"jakarta barat, tegal alur",7,0,30,2018
97,2018-02-17,jakarta barat,"jakarta barat, tegal alur",8,0,30,2018
98,2018-02-17,jakarta barat,"jakarta barat, tegal alur",9,0,30,2018
99,2018-02-17,jakarta barat,"jakarta barat, tegal alur",10,0,30,2018
100,2018-02-17,jakarta barat,"jakarta barat, tegal alur",11,0,30,2018
101,2018-02-17,jakarta barat,"jakarta barat, tegal alur",12,0,30,2018
102,2018-02-17,jakarta barat,"jakarta barat, tegal alur",13,0,30,2018
103,2018-02-17,jakarta barat,"jakarta barat, tegal alur",14,0,30,2018
104,2018-02-17,jakarta barat,"jakarta barat, tegal alur",15,0,30,2018
105,2018-02-17,jakarta barat,"jakarta barat, tegal alur",16,0,30,2018
106,2018-02-15,jakarta barat,"jakarta barat, kamal",1,0,50,2018
107,2018-02-15,jakarta barat,"jakarta barat, kamal",2,0,50,2018
108,2018-02-15,jakarta barat,"jakarta barat, kamal",3,0,50,2018
