Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
21 Maret 2020, 0:40 ,0.6, 1:55 ,0.5,72  tinggi 
22 Maret 2020, 0:27 ,0.6, 2:46 ,0.5,79  tinggi 
23 Maret 2020, 0:22 ,0.6, 3:25 ,0.5,84  tinggi 
24 Maret 2020, 0:15 ,0.6, 4:03 ,0.5,87  tinggi 
25 Maret 2020, 0:02 ,0.7, 4:45 ,0.6,86  tinggi 
26 Maret 2020, 5:39 ,0.6, 9:55 ,0.7,83  tinggi 
27 Maret 2020, 7:41 ,0.6, 8:19 ,0.7,78  tinggi 
28 Maret 2020, 14:28 ,0.4, 23:46 ,0.8,70  tinggi 
29 Maret 2020, 14:10 ,0.4, 14:14 ,0.3,61  rata-rata 
30 Maret 2020, 0:11 ,0.8, 14:28 ,0.3,50  rata-rata 
31 Maret 2020, 0:54 ,0.8, 15:56 ,0.4,41  rendah 
1 April 2020, 2:23 ,0.9, 14:48 ,0.2,37  rendah 
2 April 2020, 4:53 ,0.9, 15:11 ,0.2,42  rendah 
3 April 2020, 6:17 ,0.9, 15:32 ,0.2,55  rata-rata 
4 April 2020, 7:17 ,0.9, 15:52 ,0.3,72  tinggi 
5 April 2020, 8:08 ,0.9, 16:07 ,0.3,89  tinggi 
6 April 2020, 2:36 ,0.5, 8:56 ,0.8,104  s. tinggi 
7 April 2020, 3:52 ,0.5, 9:43 ,0.7,113  s. tinggi 
8 April 2020, 5:09 ,0.5, 10:30 ,0.6,116  s. tinggi 
9 April 2020, 6:39 ,0.5, 11:24 ,0.6,111  s. tinggi 
10 April 2020, 8:53 ,0.4, 11:37 ,0.3,99  s. tinggi 
11 April 2020, 0:01 ,0.9, 12:36 ,0.3,84  tinggi 
12 April 2020, 0:37 ,0.9, 13:18 ,0.2,67  rata-rata 
13 April 2020, 1:22 ,0.9, 13:54 ,0.2,51  rata-rata 
14 April 2020, 2:31 ,0.9, 14:25 ,0.2,39  rendah 
15 April 2020, 4:29 ,0.9, 14:53 ,0.2,36  rendah 
16 April 2020, 6:02 ,0.8, 7:05 ,0.8,42  rendah 
17 April 2020, 2:10 ,0.6, 7:52 ,0.8,51  rata-rata 
18 April 2020, 3:01 ,0.6, 8:31 ,0.7,60  rata-rata 
19 April 2020, 3:45 ,0.6, 9:04 ,0.7,69  rata-rata 
20 April 2020, 4:28 ,0.6, 9:34 ,0.7,76  tinggi 
21 April 2020, 5:12 ,0.6, 10:04 ,0.6,82  tinggi 
22 April 2020, 6:03 ,0.5, 10:35 ,0.6,84  tinggi 
23 April 2020, 7:07 ,0.5, 22:41 ,0.9,85  tinggi 
24 April 2020, 9:12 ,0.4, 22:50 ,0.9,83  tinggi 
25 April 2020, 11:17 ,0.4, 23:08 ,0.9,78  tinggi 
26 April 2020, 11:49 ,0.3, 23:34 ,1.0,71  tinggi 
27 April 2020, 12:19 ,0.3, 13:16 ,0.2,62  rata-rata 
28 April 2020, 12:48 ,0.2, 13:41 ,0.2,53  rata-rata 
29 April 2020, 0:09 ,1.0, 14:48 ,0.2,45  rendah 
30 April 2020, 0:54 ,0.9, 15:11 ,0.2,42  rendah 
1 Mei 2020, 2:08 ,0.9, 14:03 ,0.2,48  rendah 
2 Mei 2020, 4:36 ,0.8, 14:20 ,0.3,60  rata-rata 
3 Mei 2020, 1:59 ,0.6, 6:19 ,0.8,75  tinggi 
4 Mei 2020, 3:15 ,0.6, 7:35 ,0.7,90  s. tinggi 
5 Mei 2020, 4:21 ,0.5, 8:44 ,0.6,101  s. tinggi 
6 Mei 2020, 5:28 ,0.4, 10:00 ,0.5,108  s. tinggi 
7 Mei 2020, 6:42 ,0.4, 22:29 ,1.0,108  s. tinggi 
8 Mei 2020, 8:04 ,0.3, 22:56 ,1.1,102  s. tinggi 
9 Mei 2020, 9:29 ,0.2, 23:25 ,1.1,91  s. tinggi 
10 Mei 2020, 10:39 ,0.2, 23:54 ,1.0,78  tinggi 
11 Mei 2020, 11:34 ,0.2, 12:18 ,0.2,64  rata-rata 
12 Mei 2020, 0:21 ,1.0, 12:54 ,0.2,52  rata-rata 
13 Mei 2020, 0:37 ,0.9, 13:23 ,0.2,42  rendah 
14 Mei 2020, 0:02 ,0.9, 22:24 ,0.8,39  rendah 
15 Mei 2020, 13:46 ,0.3, 22:09 ,0.8,42  rendah 
16 Mei 2020, 14:02 ,0.3, 6:18 ,0.7,48  rendah 
17 Mei 2020, 5:06 ,0.6, 7:38 ,0.7,56  rata-rata 
18 Mei 2020, 5:26 ,0.6, 8:50 ,0.6,64  rata-rata 
19 Mei 2020, 5:58 ,0.5, 10:28 ,0.5,70  tinggi 
20 Mei 2020, 6:36 ,0.4, 21:58 ,0.9,76  tinggi 
21 Mei 2020, 7:17 ,0.4, 22:04 ,1.0,79  tinggi 
22 Mei 2020, 8:02 ,0.3, 22:15 ,1.0,81  tinggi 
23 Mei 2020, 8:51 ,0.3, 22:33 ,1.0,80  tinggi 
24 Mei 2020, 9:40 ,0.2, 22:55 ,1.0,77  tinggi 
25 Mei 2020, 10:26 ,0.2, 23:23 ,1.0,72  tinggi 
26 Mei 2020, 11:07 ,0.2, 23:52 ,1.0,66  rata-rata 
27 Mei 2020, 11:42 ,0.2, 12:33 ,0.2,59  rata-rata 
28 Mei 2020, 12:11 ,0.2, 12:49 ,0.3,54  rata-rata 
29 Mei 2020, 0:18 ,1.0, 21:25 ,0.8,52  rata-rata 
30 Mei 2020, 0:17 ,0.9, 14:03 ,0.2,56  rata-rata 
31 Mei 2020, 12:57 ,0.3, 14:20 ,0.3,65  rata-rata 
1 Juni 2020, 12:56 ,0.4, 21:02 ,0.9,75  tinggi 
2 Juni 2020, 5:30 ,0.5, 7:09 ,0.6,84  tinggi 
3 Juni 2020, 5:53 ,0.4, 10:00 ,0.5,92  s. tinggi 
4 Juni 2020, 6:36 ,0.3, 21:41 ,1.1,95  s. tinggi 
5 Juni 2020, 7:26 ,0.2, 22:08 ,1.1,95  s. tinggi 
6 Juni 2020, 8:18 ,0.2, 22:37 ,1.1,91  s. tinggi 
7 Juni 2020, 9:11 ,0.1, 23:05 ,1.1,84  tinggi 
8 Juni 2020, 10:00 ,0.1, 23:29 ,1.1,76  tinggi 
9 Juni 2020, 10:45 ,0.2, 23:45 ,1.0,66  rata-rata 
10 Juni 2020, 11:24 ,0.2, 23:41 ,0.9,57  rata-rata 
11 Juni 2020, 11:55 ,0.2, 23:02 ,0.9,49  rendah 
12 Juni 2020, 12:19 ,0.3, 22:14 ,0.9,44  rendah 
13 Juni 2020, 12:35 ,0.3, 21:43 ,0.8,43  rendah 
14 Juni 2020, 12:40 ,0.4, 21:25 ,0.9,45  rendah 
