Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
19 Desember 2020, 11:42 ,1.0, 23:58 ,0.3,58  rata-rata 
20 Desember 2020, 11:04 ,0.9, 9:26 ,0.9,50  rata-rata 
21 Desember 2020, 10:01 ,0.9, 9:10 ,0.9,45  rendah 
22 Desember 2020, 0:16 ,0.3, 9:04 ,0.9,43  rendah 
23 Desember 2020, 0:23 ,0.4, 18:15 ,0.4,45  rendah 
24 Desember 2020, 0:15 ,0.4, 18:28 ,0.3,49  rendah 
25 Desember 2020, 9:03 ,0.9, 18:51 ,0.3,55  rata-rata 
26 Desember 2020, 9:07 ,1.0, 19:20 ,0.2,61  rata-rata 
27 Desember 2020, 9:14 ,1.0, 19:53 ,0.2,67  rata-rata 
28 Desember 2020, 9:25 ,1.0, 20:30 ,0.2,72  tinggi 
29 Desember 2020, 9:40 ,1.1, 21:09 ,0.2,76  tinggi 
30 Desember 2020, 9:57 ,1.1, 21:24 ,0.2,78  tinggi 
31 Desember 2020, 10:16 ,1.1, 22:09 ,0.2,79  tinggi 
