,Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
77,19 Maret 2019, 9:04 ,1, 17:07 ,0.3,101  s. tinggi 
78,20 Maret 2019, 2:39 ,0.5, 9:46 ,0.9,111  s. tinggi 
79,21 Maret 2019, 3:57 ,0.5, 10:25 ,0.8,113  s. tinggi 
80,22 Maret 2019, 5:17 ,0.5, 11:00 ,0.7,110  s. tinggi 
81,23 Maret 2019, 0:14 ,0.7, 7:00 ,0.5,100  s. tinggi 
82,24 Maret 2019, 0:43 ,0.8, 14:52 ,0.5,86  tinggi 
83,25 Maret 2019, 1:19 ,0.8, 13:38 ,0.4,70  tinggi 
84,26 Maret 2019, 2:12 ,0.8, 13:58 ,0.3,54  rata-rata 
85,27 Maret 2019, 3:44 ,0.8, 14:25 ,0.3,41  rendah 
86,28 Maret 2019, 5:23 ,0.8, 14:53 ,0.3,33  rendah 
87,29 Maret 2019, 6:30 ,0.8, 15:19 ,0.3,35  rendah 
88,30 Maret 2019, 7:19 ,0.8, 15:44 ,0.3,43  rendah 
89,31 Maret 2019, 0:09 ,0.7, 1:40 ,0.6,53  rata-rata 
90,1-Apr-19, 2:22 ,0.6, 8:30 ,0.8,63  rata-rata 
91,2-Apr-19, 2:57 ,0.6, 8:58 ,0.8,73  tinggi 
92,3-Apr-19, 3:31 ,0.6, 9:23 ,0.8,81  tinggi 
93,4-Apr-19, 4:08 ,0.6, 9:46 ,0.7,87  tinggi 
94,5-Apr-19, 4:52 ,0.6, 10:05 ,0.7,90  s. tinggi 
95,6-Apr-19, 5:45 ,0.5, 10:18 ,0.6,90  s. tinggi 
96,7-Apr-19, 7:08 ,0.5, 10:07 ,0.6,87  tinggi 
97,8-Apr-19, 13:41 ,0.4, 23:29 ,0.9,81  tinggi 
98,9-Apr-19, 13:16 ,0.4, 23:57 ,0.9,73  tinggi 
99,10-Apr-19, 13:25 ,0.3, 13:46 ,0.3,62  rata-rata 
100,11-Apr-19, 0:38 ,0.9, 14:10 ,0.2,52  rata-rata 
101,12-Apr-19, 1:43 ,0.9, 14:34 ,0.2,45  rendah 
102,13-Apr-19, 3:43 ,0.9, 14:57 ,0.2,48  rendah 
103,14-Apr-19, 5:37 ,0.9, 15:17 ,0.3,58  rata-rata 
104,15-Apr-19, 6:53 ,0.9, 7:55 ,0.8,73  tinggi 
105,16-Apr-19, 2:02 ,0.6, 8:49 ,0.8,88  tinggi 
106,17-Apr-19, 3:20 ,0.6, 9:42 ,0.7,100  s. tinggi 
107,18-Apr-19, 4:29 ,0.5, 10:37 ,0.6,106  s. tinggi 
108,19-Apr-19, 5:41 ,0.5, 11:56 ,0.5,107  s. tinggi 
109,20-Apr-19, 7:06 ,0.4, 23:39 ,0.9,103  s. tinggi 
110,21-Apr-19, 8:59 ,0.4, 11:59 ,0.3,93  s. tinggi 
111,22-Apr-19, 10:56 ,0.3, 12:43 ,0.3,81  tinggi 
112,23-Apr-19, 0:00 ,0.9, 13:18 ,0.2,67  rata-rata 
113,24-Apr-19, 0:17 ,0.9, 13:48 ,0.3,53  rata-rata 
114,25-Apr-19, 0:27 ,0.9, 23:14 ,0.8,42  rendah 
115,26-Apr-19, 0:16 ,0.8, 5:26 ,0.8,35  rendah 
116,27-Apr-19, 14:13 ,0.3, 6:39 ,0.8,35  rendah 
117,28-Apr-19, 3:24 ,0.7, 7:31 ,0.8,41  rendah 
118,29-Apr-19, 3:26 ,0.7, 8:30 ,0.8,50  rata-rata 
119,30-Apr-19, 3:48 ,0.7, 8:58 ,0.8,61  rata-rata 
120,1 Mei 2019, 4:18 ,0.6, 8:16 ,0.7,70  tinggi 
121,2 Mei 2019, 4:55 ,0.6, 8:59 ,0.7,79  tinggi 
122,3 Mei 2019, 5:38 ,0.5, 9:46 ,0.6,86  tinggi 
123,4 Mei 2019, 6:31 ,0.5, 10:51 ,0.6,90  s. tinggi 
124,5 Mei 2019, 7:37 ,0.4, 22:26 ,0.9,91  s. tinggi 
125,6 Mei 2019, 9:03 ,0.4, 22:42 ,1,88  tinggi 
126,7 Mei 2019, 10:23 ,0.3, 23:05 ,1,83  tinggi 
127,8 Mei 2019, 11:18 ,0.2, 23:35 ,1,74  tinggi 
128,9 Mei 2019, 12:00 ,0.2, 12:35 ,0.2,65  rata-rata 
129,10 Mei 2019, 0:11 ,1, 13:04 ,0.2,56  rata-rata 
130,11 Mei 2019, 0:52 ,0.9, 13:28 ,0.2,52  rata-rata 
131,12 Mei 2019, 1:38 ,0.9, 2:00 ,0.7,54  rata-rata 
132,13 Mei 2019, 0:15 ,0.8, 5:54 ,0.8,63  rata-rata 
133,14 Mei 2019, 3:10 ,0.7, 7:28 ,0.7,74  tinggi 
134,15 Mei 2019, 4:05 ,0.6, 8:52 ,0.6,84  tinggi 
135,16 Mei 2019, 5:01 ,0.5, 10:29 ,0.5,92  s. tinggi 
136,17 Mei 2019, 6:00 ,0.4, 22:24 ,1,96  s. tinggi 
137,18 Mei 2019, 7:03 ,0.3, 22:44 ,1,96  s. tinggi 
138,19 Mei 2019, 8:08 ,0.3, 23:03 ,1,92  s. tinggi 
139,20 Mei 2019, 9:12 ,0.2, 23:18 ,1,85  tinggi 
140,21 Mei 2019, 10:10 ,0.2, 23:29 ,1,76  tinggi 
141,22 Mei 2019, 11:00 ,0.2, 23:31 ,0.9,66  rata-rata 
142,23 Mei 2019, 11:41 ,0.2, 23:23 ,0.9,55  rata-rata 
143,24 Mei 2019, 12:15 ,0.2, 23:03 ,0.9,46  rendah 
144,25 Mei 2019, 12:43 ,0.2, 22:37 ,0.8,40  rendah 
145,26 Mei 2019, 13:04 ,0.3, 22:12 ,0.8,38  rendah 
146,27 Mei 2019, 13:20 ,0.3, 21:51 ,0.8,41  rendah 
147,28 Mei 2019, 13:28 ,0.4, 21:37 ,0.8,48  rendah 
148,29 Mei 2019, 13:28 ,0.4, 7:09 ,0.6,57  rata-rata 
149,30 Mei 2019, 6:21 ,0.5, 9:24 ,0.6,66  rata-rata 
150,31 Mei 2019, 6:12 ,0.5, 8:16 ,0.7,74  tinggi 
151,1 Juni 2019, 6:37 ,0.4, 21:33 ,1,82  tinggi 
152,2 Juni 2019, 7:13 ,0.3, 21:46 ,1,87  tinggi 
153,3 Juni 2019, 7:56 ,0.3, 22:04 ,1.1,89  tinggi 
154,4 Juni 2019, 8:44 ,0.2, 22:29 ,1.1,89  tinggi 
155,5 Juni 2019, 9:33 ,0.2, 22:58 ,1.1,85  tinggi 
156,6 Juni 2019, 10:20 ,0.2, 23:29 ,1.1,79  tinggi 
157,7 Juni 2019, 11:01 ,0.2, 23:59 ,1,72  tinggi 
158,8 Juni 2019, 11:34 ,0.2, 12:00 ,0.2,65  rata-rata 
159,9 Juni 2019, 0:19 ,0.9, 21:41 ,0.8,61  rata-rata 
160,10 Juni 2019, 12:18 ,0.3, 20:59 ,0.8,60  rata-rata 
161,11 Juni 2019, 12:29 ,0.3, 20:53 ,0.9,64  rata-rata 
162,12 Juni 2019, 12:31 ,0.4, 7:59 ,0.6,69  rata-rata 
163,13 Juni 2019, 5:49 ,0.5, 21:20 ,1,75  tinggi 
164,14 Juni 2019, 6:05 ,0.4, 21:41 ,1.1,79  tinggi 
165,15 Juni 2019, 6:41 ,0.3, 22:04 ,1.1,82  tinggi 
166,16 Juni 2019, 7:22 ,0.2, 22:24 ,1.1,83  tinggi 
167,17 Juni 2019, 8:04 ,0.2, 22:42 ,1.1,82  tinggi 
168,18 Juni 2019, 8:48 ,0.2, 22:56 ,1,79  tinggi 
169,19 Juni 2019, 9:31 ,0.2, 23:04 ,1,74  tinggi 
170,20 Juni 2019, 10:11 ,0.2, 23:07 ,1,68  rata-rata 
171,21 Juni 2019, 10:46 ,0.2, 23:00 ,0.9,61  rata-rata 
172,22 Juni 2019, 11:16 ,0.2, 22:40 ,0.9,54  rata-rata 
173,23 Juni 2019, 11:39 ,0.3, 22:07 ,0.8,48  rendah 
174,24 Juni 2019, 11:53 ,0.3, 21:31 ,0.8,45  rendah 
175,25 Juni 2019, 11:59 ,0.4, 21:03 ,0.8,44  rendah 
176,26 Juni 2019, 11:53 ,0.4, 20:46 ,0.9,47  rendah 
177,27 Juni 2019, 11:27 ,0.4, 20:42 ,0.9,52  rata-rata 
178,28 Juni 2019, 6:41 ,0.4, 20:48 ,1,60  rata-rata 
179,29 Juni 2019, 6:15 ,0.4, 21:03 ,1,68  rata-rata 
180,30 Juni 2019, 6:29 ,0.3, 21:33 ,1,76  tinggi 
181,1 Juli 2019, 6:56 ,0.2, 21:26 ,1.1,84  tinggi 
182,2 Juli 2019, 7:31 ,0.2, 21:53 ,1.1,89  tinggi 
183,3 Juli 2019, 8:10 ,0.2, 22:23 ,1.1,92  s. tinggi 
184,4 Juli 2019, 8:50 ,0.2, 22:55 ,1.1,92  s. tinggi 
185,5 Juli 2019, 9:29 ,0.2, 23:26 ,1.1,88  tinggi 
186,6 Juli 2019, 10:03 ,0.2, 23:48 ,1,82  tinggi 
187,7 Juli 2019, 10:29 ,0.3, 23:40 ,0.9,75  tinggi 
188,8 Juli 2019, 10:47 ,0.3, 21:26 ,0.8,68  rata-rata 
189,9 Juli 2019, 10:56 ,0.4, 20:10 ,0.8,62  rata-rata 
190,10 Juli 2019, 10:51 ,0.4, 20:01 ,0.9,59  rata-rata 
191,11 Juli 2019, 5:59 ,0.4, 20:13 ,1,60  rata-rata 
192,12 Juli 2019, 5:32 ,0.3, 20:34 ,1,62  rata-rata 
193,13 Juli 2019, 5:53 ,0.3, 20:59 ,1.1,67  rata-rata 
194,14 Juli 2019, 6:23 ,0.2, 21:25 ,1.1,71  tinggi 
195,15 Juli 2019, 6:57 ,0.2, 21:49 ,1.1,75  tinggi 
196,16 Juli 2019, 7:32 ,0.2, 22:11 ,1.1,77  tinggi 
197,17 Juli 2019, 8:08 ,0.2, 22:27 ,1,77  tinggi 
198,18 Juli 2019, 8:42 ,0.2, 22:39 ,1,76  tinggi 
199,19 Juli 2019, 9:16 ,0.2, 22:46 ,1,73  tinggi 
200,20 Juli 2019, 9:45 ,0.3, 22:47 ,0.9,68  rata-rata 
201,21 Juli 2019, 10:08 ,0.3, 22:38 ,0.9,63  rata-rata 
202,22 Juli 2019, 10:20 ,0.4, 22:12 ,0.8,57  rata-rata 
203,23 Juli 2019, 10:18 ,0.4, 21:26 ,0.8,52  rata-rata 
204,24 Juli 2019, 9:50 ,0.4, 20:35 ,0.8,47  rendah 
205,25 Juli 2019, 8:08 ,0.5, 20:02 ,0.8,45  rendah 
206,26 Juli 2019, 5:57 ,0.4, 19:49 ,0.9,47  rendah 
207,27 Juli 2019, 5:26 ,0.4, 19:55 ,0.9,53  rata-rata 
208,28 Juli 2019, 5:30 ,0.3, 20:13 ,1,62  rata-rata 
209,29 Juli 2019, 5:49 ,0.2, 20:39 ,1.1,73  tinggi 
210,30 Juli 2019, 6:16 ,0.2, 21:10 ,1.1,84  tinggi 
211,31 Juli 2019, 6:48 ,0.2, 21:43 ,1.1,93  s. tinggi 
212,1 Agustus 2019, 7:21 ,0.2, 22:18 ,1.1,99  s. tinggi 
213,2 Agustus 2019, 7:53 ,0.2, 22:51 ,1,102  s. tinggi 
214,3 Agustus 2019, 8:21 ,0.3, 23:19 ,1,99  s. tinggi 
215,4 Agustus 2019, 8:43 ,0.3, 23:32 ,0.8,93  s. tinggi 
216,5 Agustus 2019, 8:57 ,0.4, 22:12 ,0.7,82  tinggi 
217,6 Agustus 2019, 8:57 ,0.4, 18:49 ,0.8,70  tinggi 
218,7 Agustus 2019, 8:13 ,0.5, 18:43 ,0.8,59  rata-rata 
219,8 Agustus 2019, 4:37 ,0.4, 19:06 ,0.9,51  rata-rata 
220,9 Agustus 2019, 4:24 ,0.3, 19:36 ,1,48  rendah 
221,10 Agustus 2019, 4:44 ,0.3, 20:09 ,1,51  rata-rata 
222,11 Agustus 2019, 5:10 ,0.2, 20:40 ,1,57  rata-rata 
223,12 Agustus 2019, 5:40 ,0.2, 21:09 ,1,64  rata-rata 
224,13 Agustus 2019, 6:10 ,0.2, 21:35 ,1,71  tinggi 
225,14 Agustus 2019, 6:39 ,0.2, 21:56 ,1,76  tinggi 
226,15 Agustus 2019, 7:08 ,0.3, 22:11 ,0.9,79  tinggi 
227,16 Agustus 2019, 7:33 ,0.3, 22:22 ,0.9,80  tinggi 
228,17 Agustus 2019, 7:53 ,0.3, 22:26 ,0.9,79  tinggi 
229,18 Agustus 2019, 8:05 ,0.4, 22:23 ,0.8,77  tinggi 
230,19 Agustus 2019, 8:01 ,0.4, 22:07 ,0.8,72  tinggi 
231,20 Agustus 2019, 7:31 ,0.5, 21:22 ,0.7,66  rata-rata 
232,21 Agustus 2019, 6:31 ,0.5, 20:00 ,0.7,58  rata-rata 
233,22 Agustus 2019, 5:18 ,0.5, 18:45 ,0.7,51  rata-rata 
234,23 Agustus 2019, 4:28 ,0.4, 18:23 ,0.8,45  rendah 
235,24 Agustus 2019, 4:10 ,0.4, 18:35 ,0.9,43  rendah 
236,25 Agustus 2019, 4:15 ,0.3, 19:03 ,0.9,47  rendah 
237,26 Agustus 2019, 4:31 ,0.2, 19:37 ,1,58  rata-rata 
238,27 Agustus 2019, 4:55 ,0.2, 20:15 ,1,72  tinggi 
239,28 Agustus 2019, 5:20 ,0.2, 20:54 ,1,87  tinggi 
240,29 Agustus 2019, 5:47 ,0.2, 21:32 ,1,100  s. tinggi 
241,30 Agustus 2019, 6:11 ,0.3, 22:09 ,1,108  s. tinggi 
242,31 Agustus 2019, 6:31 ,0.3, 13:44 ,0.5,111  s. tinggi 
243,1-Sep-19, 6:44 ,0.4, 13:22 ,0.6,108  s. tinggi 
244,2-Sep-19, 6:45 ,0.4, 13:49 ,0.7,98  s. tinggi 
245,3-Sep-19, 6:23 ,0.5, 14:40 ,0.7,84  tinggi 
246,4-Sep-19, 4:40 ,0.5, 15:49 ,0.8,68  rata-rata 
247,5-Sep-19, 2:49 ,0.4, 17:02 ,0.8,53  rata-rata 
248,6-Sep-19, 2:55 ,0.3, 18:03 ,0.9,42  rendah 
249,7-Sep-19, 3:19 ,0.3, 18:54 ,0.9,39  rendah 
